sysno,ark,name
16661254,ark:/81055/vdc_100022588839.0x000002,Drury Lane Theatre 1825-1827
16661254,ark:/81055/vdc_100022588849.0x000002,Drury Lane Theatre 1825-1827
16661292,ark:/81055/vdc_100022588755.0x000002,Drury Lane Theatre 1826-1827
16661235,ark:/81055/vdc_100022588833.0x000002,Drury Lane Theatre 1826-1829
16661235,ark:/81055/vdc_100022588835.0x000002,Drury Lane Theatre 1826-1829
16661255,ark:/81055/vdc_100022588871.0x000002,Drury Lane Theatre 1826-1829
16661255,ark:/81055/vdc_100022588875.0x000002,Drury Lane Theatre 1826-1829
16661257,ark:/81055/vdc_100022588741.0x000002,Drury Lane Theatre 1827-1828
16661258,ark:/81055/vdc_100022588751.0x000002,Drury Lane Theatre 1828-1829
16661293,ark:/81055/vdc_100022588813.0x000002,Drury Lane Theatre 1828-1829
16661259,ark:/81055/vdc_100022588757.0x000002,Drury Lane Theatre 1829-1830
16661236,ark:/81055/vdc_100022588847.0x000002,Drury Lane Theatre 1829-1832
16661236,ark:/81055/vdc_100022589306.0x000002,Drury Lane Theatre 1829-1832
16661294,ark:/81055/vdc_100022588765.0x000002,Drury Lane Theatre 1830-1831
16661260,ark:/81055/vdc_100022588783.0x000002,Drury Lane Theatre 1830-1831
16661256,ark:/81055/vdc_100022588853.0x000002,Drury Lane Theatre 1830-1832
16661256,ark:/81055/vdc_100022588863.0x000002,Drury Lane Theatre 1830-1832
16661237,ark:/81055/vdc_100022588719.0x000002,Drury Lane Theatre 1832-1834
16661295,ark:/81055/vdc_100022588861.0x000002,Drury Lane Theatre 1832-1834
16661295,ark:/81055/vdc_100022588877.0x000002,Drury Lane Theatre 1832-1834
16661296,ark:/81055/vdc_100022588865.0x000002,Drury Lane Theatre 1833-1835
16661296,ark:/81055/vdc_100022588867.0x000002,Drury Lane Theatre 1833-1835
16661238,ark:/81055/vdc_100022588727.0x000002,Drury Lane Theatre 1834-1836
16661297,ark:/81055/vdc_100022588763.0x000002,Drury Lane Theatre 1835-1836
16661239,ark:/81055/vdc_100022588831.0x000002,Drury Lane Theatre 1836-1838
16661239,ark:/81055/vdc_100022589308.0x000002,Drury Lane Theatre 1836-1838
16661240,ark:/81055/vdc_100022588771.0x000002,Drury Lane Theatre 1838-1840
16661241,ark:/81055/vdc_100022588773.0x000002,Drury Lane Theatre 1840-1841
16661242,ark:/81055/vdc_100022588817.0x000002,Drury Lane Theatre 1842-1843
16661243,ark:/81055/vdc_100022588731.0x000002,Drury Lane Theatre 1843-1844
16661306,ark:/81055/vdc_100022588947.0x000002,Drury Lane Theatre 1843-1844
16661305,ark:/81055/vdc_100022588943.0x000002,Drury Lane Theatre 1844-1845
16661265,ark:/81055/vdc_100022588819.0x000002,Drury Lane Theatre 1849-1850
16661288,ark:/81055/vdc_100022588777.0x000002,Drury Lane Theatre 1854
16661266,ark:/81055/vdc_100022588815.0x000002,Drury Lane Theatre 1854-1855
16661286,ark:/81055/vdc_100022588729.0x000002,Drury Lane Theatre 1855-1856
16661287,ark:/81055/vdc_100022588733.0x000002,Drury Lane Theatre 1857-1859
16661289,ark:/81055/vdc_100022588735.0x000002,Drury Lane Theatre 1859-1861
16661225,ark:/81055/vdc_100022588709.0x000002,Drury Lane Theatre and Lyceum Theatre 1811-1813
16661361,ark:/81055/vdc_100022588923.0x000002,Haymarket Theatre 1777-1780
16661362,ark:/81055/vdc_100022588911.0x000002,Haymarket Theatre 1781-1783
16661363,ark:/81055/vdc_100022588921.0x000002,Haymarket Theatre 1784-1786
16661364,ark:/81055/vdc_100022588915.0x000002,Haymarket Theatre 1787-1792
16661365,ark:/81055/vdc_100022588917.0x000002,Haymarket Theatre 1793-1794
16661366,ark:/81055/vdc_100022588905.0x000002,Haymarket Theatre 1794-1797
16661367,ark:/81055/vdc_100022588909.0x000002,Haymarket Theatre 1798-1802
16661277,ark:/81055/vdc_100022588913.0x000002,Haymarket Theatre 1803-1808
16661384,ark:/81055/vdc_100022589146.0x000002,Haymarket Theatre 1805-1830
16661278,ark:/81055/vdc_100022588919.0x000002,Haymarket Theatre 1809-1815
16661279,ark:/81055/vdc_100022588907.0x000002,Haymarket Theatre 1816-1822
16661280,ark:/81055/vdc_100022588903.0x000002,Haymarket Theatre 1817-1824
16661280,ark:/81055/vdc_100022589008.0x000002,Haymarket Theatre 1817-1824
16661281,ark:/81055/vdc_100022588933.0x000002,Haymarket Theatre 1823-1826
16661281,ark:/81055/vdc_100022588939.0x000002,Haymarket Theatre 1823-1826
16661282,ark:/81055/vdc_100022588925.0x000002,Haymarket Theatre 1827-1829
16661282,ark:/81055/vdc_100022588927.0x000002,Haymarket Theatre 1827-1829
16661283,ark:/81055/vdc_100022588931.0x000002,Haymarket Theatre 1831-1836
16661283,ark:/81055/vdc_100022588937.0x000002,Haymarket Theatre 1831-1836
16661284,ark:/81055/vdc_100022588935.0x000002,Haymarket Theatre 1832-1836
16661284,ark:/81055/vdc_100022588941.0x000002,Haymarket Theatre 1832-1836
16661307,ark:/81055/vdc_100022588949.0x000002,Haymarket Theatre 1837-1839
16661307,ark:/81055/vdc_100022588951.0x000002,Haymarket Theatre 1837-1839
