manifest_id,name
ark:/81055/vdc_100022588813.0x000002,Drury Lane Theatre 1828-1829
ark:/81055/vdc_100022588757.0x000002,Drury Lane Theatre 1829-1830
ark:/81055/vdc_100022588847.0x000002,Drury Lane Theatre 1829-1832
ark:/81055/vdc_100022589306.0x000002,Drury Lane Theatre 1829-1832
ark:/81055/vdc_100022588765.0x000002,Drury Lane Theatre 1830-1831
ark:/81055/vdc_100022588783.0x000002,Drury Lane Theatre 1830-1831
ark:/81055/vdc_100022588853.0x000002,Drury Lane Theatre 1830-1832
ark:/81055/vdc_100022588863.0x000002,Drury Lane Theatre 1830-1832
ark:/81055/vdc_100022588719.0x000002,Drury Lane Theatre 1832-1834
ark:/81055/vdc_100022588861.0x000002,Drury Lane Theatre 1832-1834
ark:/81055/vdc_100022588877.0x000002,Drury Lane Theatre 1832-1834
ark:/81055/vdc_100022588865.0x000002,Drury Lane Theatre 1833-1835
ark:/81055/vdc_100022588867.0x000002,Drury Lane Theatre 1833-1835
ark:/81055/vdc_100022588727.0x000002,Drury Lane Theatre 1834-1836
ark:/81055/vdc_100022588763.0x000002,Drury Lane Theatre 1835-1836
ark:/81055/vdc_100022588831.0x000002,Drury Lane Theatre 1836-1838
ark:/81055/vdc_100022589308.0x000002,Drury Lane Theatre 1836-1838
ark:/81055/vdc_100022588771.0x000002,Drury Lane Theatre 1838-1840
ark:/81055/vdc_100022588773.0x000002,Drury Lane Theatre 1840-1841
ark:/81055/vdc_100022588817.0x000002,Drury Lane Theatre 1842-1843
ark:/81055/vdc_100022588731.0x000002,Drury Lane Theatre 1843-1844
ark:/81055/vdc_100022588947.0x000002,Drury Lane Theatre 1843-1844
ark:/81055/vdc_100022588943.0x000002,Drury Lane Theatre 1844-1845
ark:/81055/vdc_100022588819.0x000002,Drury Lane Theatre 1849-1850
ark:/81055/vdc_100022588777.0x000002,Drury Lane Theatre 1854
ark:/81055/vdc_100022588815.0x000002,Drury Lane Theatre 1854-1855
ark:/81055/vdc_100022588729.0x000002,Drury Lane Theatre 1855-1856
ark:/81055/vdc_100022588733.0x000002,Drury Lane Theatre 1857-1859
ark:/81055/vdc_100022588735.0x000002,Drury Lane Theatre 1859-1861
ark:/81055/vdc_100022588709.0x000002,Drury Lane Theatre and Lyceum Theatre 1811-1813
ark:/81055/vdc_100022588923.0x000002,Haymarket Theatre 1777-1780
ark:/81055/vdc_100022588911.0x000002,Haymarket Theatre 1781-1783
ark:/81055/vdc_100022588921.0x000002,Haymarket Theatre 1784-1786
ark:/81055/vdc_100022588915.0x000002,Haymarket Theatre 1787-1792
ark:/81055/vdc_100022588917.0x000002,Haymarket Theatre 1793-1794
ark:/81055/vdc_100022588905.0x000002,Haymarket Theatre 1794-1797
ark:/81055/vdc_100022588909.0x000002,Haymarket Theatre 1798-1802
ark:/81055/vdc_100022588913.0x000002,Haymarket Theatre 1803-1808
ark:/81055/vdc_100022589146.0x000002,Haymarket Theatre 1805-1830
ark:/81055/vdc_100022588919.0x000002,Haymarket Theatre 1809-1815
ark:/81055/vdc_100022588907.0x000002,Haymarket Theatre 1816-1822
ark:/81055/vdc_100022588903.0x000002,Haymarket Theatre 1817-1824
ark:/81055/vdc_100022589008.0x000002,Haymarket Theatre 1817-1824
ark:/81055/vdc_100022588933.0x000002,Haymarket Theatre 1823-1826
ark:/81055/vdc_100022588939.0x000002,Haymarket Theatre 1823-1826
ark:/81055/vdc_100022588925.0x000002,Haymarket Theatre 1827-1829
ark:/81055/vdc_100022588927.0x000002,Haymarket Theatre 1827-1829
ark:/81055/vdc_100022588931.0x000002,Haymarket Theatre 1831-1836
ark:/81055/vdc_100022588937.0x000002,Haymarket Theatre 1831-1836
ark:/81055/vdc_100022588935.0x000002,Haymarket Theatre 1832-1836
ark:/81055/vdc_100022588941.0x000002,Haymarket Theatre 1832-1836
ark:/81055/vdc_100022588949.0x000002,Haymarket Theatre 1837-1839
ark:/81055/vdc_100022588951.0x000002,Haymarket Theatre 1837-1839
ark:/81055/vdc_100022588959.0x000002,Haymarket Theatre 1837-1839
ark:/81055/vdc_100022588963.0x000002,Haymarket Theatre 1837-1839
ark:/81055/vdc_100022588953.0x000002,Haymarket Theatre 1840-1841
ark:/81055/vdc_100022588955.0x000002,Haymarket Theatre 1840-1841
ark:/81055/vdc_100022588957.0x000002,Haymarket Theatre 1840-1841
ark:/81055/vdc_100022589294.0x000002,Haymarket Theatre 1840-1841
ark:/81055/vdc_100022588945.0x000002,Haymarket Theatre 1842-1843
ark:/81055/vdc_100022588961.0x000002,Haymarket Theatre 1842-1843
ark:/81055/vdc_100022588971.0x000002,Haymarket Theatre 1844-1845
ark:/81055/vdc_100022588975.0x000002,Haymarket Theatre 1844-1845
ark:/81055/vdc_100022588979.0x000002,Haymarket Theatre 1844-1845
ark:/81055/vdc_100022589006.0x000002,Haymarket Theatre 1844-1845
ark:/81055/vdc_100022588967.0x000002,Haymarket Theatre 1846-1847
ark:/81055/vdc_100022588973.0x000002,Haymarket Theatre 1846-1847
ark:/81055/vdc_100022588965.0x000002,Haymarket Theatre 1848-1849
ark:/81055/vdc_100022588977.0x000002,Haymarket Theatre 1848-1849
ark:/81055/vdc_100022588969.0x000002,Haymarket Theatre 1854-1868
ark:/81055/vdc_100022588981.0x000002,Haymarket Theatre 1854-1868
ark:/81055/vdc_100022588983.0x000002,Haymarket Theatre 1854-1868
ark:/81055/vdc_100022589296.0x000002,Lyceum Theatre 1809-1821
ark:/81055/vdc_100022589152.0x000002,Lyceum Theatre 1822-1826
ark:/81055/vdc_100022588985.0x000002,Lyceum Theatre 1836-1840
ark:/81055/vdc_100022588989.0x000002,Lyceum Theatre 1836-1840
ark:/81055/vdc_100022588991.0x000002,Lyceum Theatre 1848-1849
ark:/81055/vdc_100022588995.0x000002,Lyceum Theatre 1848-1849
ark:/81055/vdc_100022588987.0x000002,Lyceum Theatre 1850-1851
ark:/81055/vdc_100022589003.0x000002,Lyceum Theatre 1850-1851
ark:/81055/vdc_100022589038.0x000002,Miscellaneous Birmingham theatres 1774-1800
ark:/81055/vdc_100022589046.0x000002,Miscellaneous Birmingham theatres 1801-1805
