ark:/81055/vdc_100022588857.0x000002,16661350,A collection of playbills from Covent Garden Theatre 1753-1779. 
ark:/81055/vdc_100022588873.0x000002,16661350,A collection of playbills from Covent Garden Theatre 1753-1779. 
ark:/81055/vdc_100022588789.0x000002,16661351,A collection of playbills from Covent Garden Theatre 1779-1781. 
ark:/81055/vdc_100022588775.0x000002,16661352,A collection of playbills from Covent Garden Theatre 1781-1783. 
ark:/81055/vdc_100022588781.0x000002,16661353,A collection of playbills from Covent Garden Theatre 1783-1785. 
ark:/81055/vdc_100022588787.0x000002,16661354,A collection of playbills from Covent Garden Theatre 1785-1787. 
ark:/81055/vdc_100022588825.0x000002,16661355,A collection of playbills from Covent Garden Theatre 1787-1789. 
ark:/81055/vdc_100022588823.0x000002,16661356,A collection of playbills from Covent Garden Theatre 1789-1791. 
ark:/81055/vdc_100022588805.0x000002,16661357,A collection of playbills from Covent Garden Theatre 1791-1793. 
ark:/81055/vdc_100022588799.0x000002,16661358,A collection of playbills from Covent Garden Theatre 1793-1796. 
ark:/81055/vdc_100022588821.0x000002,16661359,A collection of playbills from Covent Garden Theatre 1796-1798. 
ark:/81055/vdc_100022588795.0x000002,16661360,A collection of playbills from Covent Garden Theatre 1798-1800. 
ark:/81055/vdc_100022588801.0x000002,16661261,A collection of playbills from Covent Garden Theatre 1800-1802. 
ark:/81055/vdc_100022589292.0x000002,16661262,A collection of playbills from Covent Garden Theatre 1802-1804. 
ark:/81055/vdc_100022588827.0x000002,16661263,A collection of playbills from Covent Garden Theatre 1804-1806. 
ark:/81055/vdc_100022588793.0x000002,16661264,A collection of playbills from Covent Garden Theatre 1806-1808. 
ark:/81055/vdc_100022588855.0x000002,16661298,A collection of playbills from Covent Garden Theatre 1809-1811. 
ark:/81055/vdc_100022588869.0x000002,16661298,A collection of playbills from Covent Garden Theatre 1809-1811. 
ark:/81055/vdc_100022588803.0x000002,16661299,A collection of playbills from Covent Garden Theatre 1812-1814. 
ark:/81055/vdc_100022588811.0x000002,16661267,A collection of playbills from Covent Garden Theatre 1815-1816. 
ark:/81055/vdc_100022588791.0x000002,16661268,A collection of playbills from Covent Garden Theatre 1817-1818. 
ark:/81055/vdc_100022588797.0x000002,16661269,A collection of playbills from Covent Garden Theatre 1817-1825. 
ark:/81055/vdc_100022588807.0x000002,16661270,A collection of playbills from Covent Garden Theatre 1819-1820. 
ark:/81055/vdc_100022588859.0x000002,16661300,A collection of playbills from Covent Garden Theatre 1821-1822. 
ark:/81055/vdc_100022588889.0x000002,16661271,A collection of playbills from Covent Garden Theatre 1823-1824. 
ark:/81055/vdc_100022588883.0x000002,16661272,A collection of playbills from Covent Garden Theatre 1825-1826. 
ark:/81055/vdc_100022588879.0x000002,16661273,A collection of playbills from Covent Garden Theatre 1826-1830. 
ark:/81055/vdc_100022588881.0x000002,16661273,A collection of playbills from Covent Garden Theatre 1826-1830. 
ark:/81055/vdc_100022588891.0x000002,16661274,A collection of playbills from Covent Garden Theatre 1827-1831. 
ark:/81055/vdc_100022588885.0x000002,16661301,A collection of playbills from Covent Garden Theatre 1829-1831. 
